,open,high,low,close,tick_volume
2026-03-31 22:55:00,1.15577,1.15578,1.15573,1.15577,6.0
2026-03-31 22:56:00,1.15577,1.15583,1.15577,1.15582,9.0
2026-03-31 22:57:00,1.15582,1.15589,1.15582,1.15589,10.0
2026-03-31 22:58:00,1.15589,1.15589,1.1558,1.15582,11.0
2026-03-31 22:59:00,1.15582,1.15582,1.1558,1.15582,6.0
2026-03-31 23:00:00,1.15582,1.15584,1.15581,1.15584,10.0
2026-03-31 23:01:00,1.15584,1.15587,1.15574,1.15582,31.0
2026-03-31 23:02:00,1.15581,1.15582,1.1558,1.15582,14.0
2026-03-31 23:03:00,1.15582,1.15583,1.15567,1.15568,20.0
2026-03-31 23:04:00,1.15567,1.15572,1.15567,1.15572,9.0
2026-03-31 23:05:00,1.15572,1.15572,1.15567,1.15571,15.0
2026-03-31 23:06:00,1.15571,1.15587,1.15571,1.15584,19.0
2026-03-31 23:07:00,1.15584,1.15597,1.15584,1.15597,10.0
2026-03-31 23:08:00,1.15597,1.15599,1.15594,1.15594,10.0
2026-03-31 23:09:00,1.15595,1.15598,1.15595,1.1559599999999999,4.0
2026-03-31 23:10:00,1.1559599999999999,1.15606,1.1559599999999999,1.15601,18.0
2026-03-31 23:11:00,1.15601,1.15601,1.15581,1.15582,21.0
2026-03-31 23:12:00,1.15582,1.1559,1.15582,1.1559,9.0
2026-03-31 23:13:00,1.15588,1.15602,1.15587,1.15602,19.0
2026-03-31 23:14:00,1.15602,1.15605,1.15602,1.15605,4.0
2026-03-31 23:15:00,1.15605,1.15612,1.156,1.1561,21.0
2026-03-31 23:16:00,1.1561,1.15627,1.1561,1.15627,21.0
2026-03-31 23:17:00,1.15626,1.15627,1.15618,1.15624,19.0
2026-03-31 23:18:00,1.15625,1.15629,1.15619,1.1562000000000001,19.0
2026-03-31 23:19:00,1.15618,1.15627,1.15618,1.15625,18.0
2026-03-31 23:20:00,1.15625,1.15627,1.15622,1.15624,16.0
2026-03-31 23:21:00,1.15624,1.1562999999999999,1.15624,1.15629,14.0
2026-03-31 23:22:00,1.15629,1.15635,1.15627,1.15627,18.0
2026-03-31 23:23:00,1.15627,1.15633,1.15625,1.15632,15.0
2026-03-31 23:24:00,1.15632,1.15646,1.15628,1.15643,26.0
2026-03-31 23:25:00,1.15644,1.15668,1.15641,1.15666,30.0
2026-03-31 23:26:00,1.15667,1.1567,1.15663,1.1567,13.0
2026-03-31 23:27:00,1.15671,1.15676,1.15663,1.15663,25.0
2026-03-31 23:28:00,1.15663,1.15668,1.15662,1.15663,16.0
2026-03-31 23:29:00,1.15663,1.15664,1.15659,1.1566,14.0
2026-03-31 23:30:00,1.15658,1.15658,1.15652,1.15656,18.0
2026-03-31 23:31:00,1.15656,1.15659,1.1565,1.1565,17.0
2026-03-31 23:32:00,1.1565,1.15655,1.15645,1.15648,21.0
2026-03-31 23:33:00,1.15648,1.15659,1.15647,1.15659,22.0
2026-03-31 23:34:00,1.1566,1.15669,1.15656,1.15666,19.0
2026-03-31 23:35:00,1.15666,1.15666,1.1565,1.15652,17.0
2026-03-31 23:36:00,1.15653,1.15661,1.1565,1.15659,22.0
2026-03-31 23:37:00,1.15659,1.15659,1.15649,1.15649,14.0
2026-03-31 23:38:00,1.15649,1.15656,1.15649,1.15653,17.0
2026-03-31 23:39:00,1.15653,1.15663,1.15653,1.1566,15.0
2026-03-31 23:40:00,1.1566,1.15663,1.1565400000000001,1.1565400000000001,18.0
2026-03-31 23:41:00,1.1565400000000001,1.15658,1.15653,1.15656,9.0
2026-03-31 23:42:00,1.15653,1.15653,1.15647,1.15648,6.0
2026-03-31 23:43:00,1.15648,1.15658,1.15648,1.1565699999999999,16.0
2026-03-31 23:44:00,1.1565699999999999,1.15658,1.15653,1.15655,15.0
2026-03-31 23:45:00,1.15655,1.15656,1.15647,1.1565,18.0
2026-03-31 23:46:00,1.15651,1.15662,1.1565,1.1566,14.0
2026-03-31 23:47:00,1.15662,1.15669,1.15662,1.15664,19.0
2026-03-31 23:48:00,1.15663,1.15667,1.15661,1.15663,8.0
2026-03-31 23:49:00,1.15663,1.15675,1.15662,1.15674,22.0
2026-03-31 23:50:00,1.15674,1.15695,1.15674,1.15689,46.0
2026-03-31 23:51:00,1.15689,1.15699,1.15686,1.15686,48.0
2026-03-31 23:52:00,1.15688,1.157,1.15685,1.1569099999999999,30.0
2026-03-31 23:53:00,1.1569099999999999,1.15703,1.15689,1.15696,49.0
2026-03-31 23:54:00,1.15696,1.157,1.15688,1.157,32.0
2026-03-31 23:55:00,1.157,1.15727,1.15699,1.15719,52.0
2026-03-31 23:56:00,1.15719,1.15726,1.1571799999999999,1.15724,28.0
2026-03-31 23:57:00,1.15724,1.15736,1.1572,1.15736,40.0
2026-03-31 23:58:00,1.15736,1.15741,1.15731,1.15738,35.0
2026-03-31 23:59:00,1.15738,1.15743,1.15733,1.15736,21.0
2026-04-01 00:00:00,1.15735,1.15735,1.15693,1.15704,83.0
2026-04-01 00:01:00,1.15704,1.15711,1.15699,1.15699,55.0
2026-04-01 00:02:00,1.15699,1.15705,1.1569,1.15697,70.0
2026-04-01 00:03:00,1.15697,1.1572,1.15697,1.15719,62.0
2026-04-01 00:04:00,1.15719,1.1573,1.15717,1.1573,47.0
2026-04-01 00:05:00,1.1573,1.15734,1.15724,1.15726,33.0
2026-04-01 00:06:00,1.15727,1.1574,1.15724,1.15732,36.0
