,open,high,low,close,tick_volume
2026-03-30 23:22:00,4508.214,4509.478,4506.891,4507.041,166.0
2026-03-30 23:23:00,4507.086,4508.87,4506.147,4507.179,145.0
2026-03-30 23:24:00,4507.157,4508.716,4506.902,4506.944,121.0
2026-03-30 23:25:00,4507.005,4507.005,4504.2,4505.248,135.0
2026-03-30 23:26:00,4505.239,4506.27,4505.042,4506.212,73.0
2026-03-30 23:27:00,4506.184,4506.184,4504.54,4505.522,112.0
2026-03-30 23:28:00,4505.788,4506.646,4505.029,4505.804,106.0
2026-03-30 23:29:00,4505.896,4505.969,4505.13,4505.136,102.0
2026-03-30 23:30:00,4505.198,4506.004,4503.864,4505.529,179.0
2026-03-30 23:31:00,4505.538,4505.538,4503.952,4505.373,109.0
2026-03-30 23:32:00,4505.385,4508.455,4505.385,4508.252,157.0
2026-03-30 23:33:00,4508.228,4508.42,4506.986,4507.93,101.0
2026-03-30 23:34:00,4508.176,4508.597,4506.805,4507.031,99.0
2026-03-30 23:35:00,4507.093,4508.792,4504.12,4508.79,181.0
2026-03-30 23:36:00,4508.717,4511.824,4508.421,4511.824,211.0
2026-03-30 23:37:00,4511.619,4515.079,4511.055,4513.924,173.0
2026-03-30 23:38:00,4513.924,4515.266,4512.503,4514.109,128.0
2026-03-30 23:39:00,4514.111,4514.565,4510.673,4510.935,176.0
2026-03-30 23:40:00,4510.993,4512.377,4510.165,4510.771,173.0
2026-03-30 23:41:00,4510.848,4513.49,4509.576,4513.077,129.0
2026-03-30 23:42:00,4513.153,4515.815,4512.864,4515.034,104.0
2026-03-30 23:43:00,4515.219,4519.441,4514.948,4518.261,204.0
2026-03-30 23:44:00,4518.185,4519.512,4516.873,4518.236,169.0
2026-03-30 23:45:00,4518.499,4519.555,4516.4,4516.724,161.0
2026-03-30 23:46:00,4516.627,4518.418,4516.029,4516.029,160.0
2026-03-30 23:47:00,4516.172,4516.747,4515.127,4515.127,123.0
2026-03-30 23:48:00,4515.133,4517.225,4514.982,4516.945,113.0
2026-03-30 23:49:00,4516.945,4518.985,4516.945,4518.17,95.0
2026-03-30 23:50:00,4518.223,4521.347,4518.223,4520.029,148.0
2026-03-30 23:51:00,4520.162,4520.635,4516.153,4516.153,132.0
2026-03-30 23:52:00,4516.348,4517.065,4515.914,4516.236,86.0
2026-03-30 23:53:00,4516.275,4516.355,4514.199,4514.745,109.0
2026-03-30 23:54:00,4514.607,4515.754,4513.503,4513.52,137.0
2026-03-30 23:55:00,4513.639,4513.706,4509.174,4510.085,203.0
2026-03-30 23:56:00,4510.014,4510.261,4509.097,4509.783,109.0
