,open,high,low,close,tick_volume,EMA_Fast,EMA_Slow,Signal,SL,TP
2026-03-31 22:36:00,1.15547,1.15549,1.15542,1.15548,15.0,1.15548,1.15548,0,,
2026-03-31 22:37:00,1.15548,1.15563,1.15548,1.15559,16.0,1.155502,1.15549,1,1.15443441,1.1579011799999999
2026-03-31 22:38:00,1.15561,1.15578,1.15561,1.15577,24.0,1.1555556,1.1555154545454545,0,,
2026-03-31 22:39:00,1.15577,1.15578,1.15572,1.15578,15.0,1.15560048,1.1555395041322312,0,,
2026-03-31 22:40:00,1.15578,1.15579,1.15577,1.15579,7.0,1.155638384,1.1555622764838465,0,,
2026-03-31 22:41:00,1.15579,1.15579,1.15568,1.1557,20.0,1.1556507072,1.1555747968034968,0,,
2026-03-31 22:42:00,1.1557,1.15573,1.15569,1.15573,8.0,1.15566656576,1.155588906184997,0,,
2026-03-31 22:43:00,1.15573,1.15573,1.15567,1.15569,13.0,1.1556712526080002,1.1555980965318156,0,,
2026-03-31 22:44:00,1.15569,1.15573,1.15567,1.15567,7.0,1.1556710020864003,1.1556046332107415,0,,
2026-03-31 22:45:00,1.15567,1.15567,1.15552,1.15557,11.0,1.1556508016691203,1.1556014847370375,0,,
2026-03-31 22:46:00,1.15557,1.15562,1.15557,1.15559,12.0,1.1556386413352961,1.155600440670034,0,,
2026-03-31 22:47:00,1.15559,1.15566,1.15559,1.15566,12.0,1.1556429130682369,1.1556058551545763,0,,
2026-03-31 22:48:00,1.15565,1.15572,1.15565,1.15572,21.0,1.1556583304545895,1.1556162319587058,0,,
2026-03-31 22:49:00,1.15572,1.15582,1.15572,1.15579,15.0,1.1556846643636718,1.1556320290533688,0,,
2026-03-31 22:50:00,1.15579,1.15579,1.15577,1.15577,6.0,1.1557017314909375,1.1556445718666988,0,,
2026-03-31 22:51:00,1.15577,1.15577,1.15576,1.15577,3.0,1.15571538519275,1.1556559744242716,0,,
